Year,Song Title,Artist,Lyrics,Number of featured artists,Featured artists
2009,27 Octobre,Disiz,"
J'ai des négros sur les côtes, sont passés par mes potes
Pourtant j'avais prévenu, mais on veut me faire payer la note
Je t'explique le rap game c'est un nid de serpents
Et le problème, c'est qu'il y a peu de gagnants, mais beaucoup de perdants
Quand tu commences, tes supporters, sont du genre fervents
Mais un truc vient brouiller tout, évidemment c'est l'argent
À l'époque, j'avais les habits et les idées larges
Et mon plus gros projet, convertir les barges en braves
Et je partageais, que faire d'autre lorsque ça marche ?
Pour vivre heureux, vivons cachés, c'était pas trop la démarche
Bref, je jouis des privilèges, d'la bonne image, une petite lettre
Une peine qui s'allège, un frère en chien, je débloque un peu d'oseille
Tout ça en scred, je ne veux pas montrer que j'aide
Je suis guidé par le Dîn et c'est comme ça que doit marcher les tiècs
Si tu montes, tu tires les autres tous dans le même bateau
Tous on avait la dalle, on partage le gâteau. Normal !
Dans l'autre cas, ton gars aurait fait la même
Chez nous on est solidaires, enfin ça dépend du problème
Et ça dépend combien tu pèses en oseille
Plus grandit ton rêve, plus grandit la haine
Ça n'est qu'une question de temps avant que le revers ne revienne
Si tu gagnes la médaille d'or, c'est la médaille d'or des problèmes
C'est ça le rap game ! Les gros sujets tabous
Je compte pas sur un crew, moi je compte sur un marabout

J'avais rendu un service, mais les frères ont du vice
Ils utilisent ton service, pour te faire des sévices
Voulaient me faire des services volés depuis Yannick Noah
Car les négros croient, que tu dois être noyé dans le gent-ar
Ça laisse des coups de fils de plus en plus pesant
Du genre faut rappeler tout de suite
C'est tout le temps urgent
Tu sens que c'est zarbi, quelque chose se prépare vite
Ça sent trop le celar-vi, qui dans une embrouille t'invite
Prennent des prétextes bidons, te prennent pour un con
Les frères font les cons, font les comptes, visent ton compte
Des traîtres m'avaient serré la main
Le lendemain, voulaient me lacérer
D'une lame acérée, dans mon sang, voulaient me laisser macérer
Et l'étau n'a fait que se resserrer
Jamais tu te dirais que des frères oseraient
Je te raconte la suite en direct
En direct du ter-ter, ouais en direct du traître-traître
C'était l'époque où ma femme était enceinte
Je venais de sortir mon album n°5
Un de ces genres de gars qui aurait pu être mon zinc'
A eu des vues sur moi et a impliqué les miens
Il s'est renseigné chez moi, je n'avais plus trop la côte
A vu que j'étais tout seul, que je n'avais plus trop de potes
A mis en place son plan
M'a demandé de l'argent
Tout en me menaçant, mais indirectement
Et moi dans le même temps
J'attendais mon enfant
Je préservais ma femme, de peur qu'elle pète les plombs
Dos au mur, partagé, entre balancer tout
Ou m'entourer d'un crew à qui je serais redevable
M'entourer de gros bras, qui me maqueront plus tard
Je ne mérite pas ça, je suis dans une putain d'impasse
Ma fille vient de naître, je gère les coups de fil
On me fait un coup de traître
L'infirmière monte dans la chambre, me dit : ""Quelqu'un vous attend""
Je me dis : ""C'est pas possible, pas ici, pas maintenant !""
Alors que je célébrais la vie
En bas m'attend la mort, alors je me menace de vivre
J'implore Dieu dans l'ascenseur, il m'aide et je m'en sors
Je trouve la force de dire : ""Stop""
Et si je dois être honnête, voilà pourquoi j'arrête
Je ne cèderais jamais, je crois trop en Dieu, pour craindre un homme
",0,
,29h59,Disiz,"
Ambiance nuit banlieue quelconque
...

Souvent j'écris dans ma voiture la nuit
...

23h59 donc j'suis garé comme un stup
...

Lui c'était ... plus gros dealer du quartier
...
",0,
2003,"91 Unda (Ft. Apotre H, Eloquence & Treyz l'Affreux)",Disiz,"9.1., trop hard, 9.1... 

Réputés pour la débrouille 
Les mecs du 9.1 s'embrouillent et se goument 
Ne font pas de sous en douce, ils marchent tous en crew 
En Essonne, trop de discordes mais pas de discours 
Y'a d'jà eu trop d'histoires trop se tordent 
Mais c'est hip-hop depuis toujours 
 
Trop hard, l'Essonne, si elle s'unit tu vas péter les plombs 
Trop hard, banlieue sud, 9.1 c'est d'la bête de bombe 
Trop hard, trop hard mais go y'a que des vrais gars 
Fuck dat, non nous on est trop unda 
Trop hard, tous les breakers et les graffeurs 
Trop hard, 9.1 tous les kiffeurs 
Trop hard, ceux qui mixent, ceux qui rappent comme toi et moi 
Unda, banlieue sud, c'est trop unda

Trop sale, comme d'hab met c'rap trop unda 
Trop hard, trop l'savent, c'est Fuck Dat 
Dans l'rap on plaisante pas on arrive trop fat 
Trop bas traumatisé par notre come-back 
Esprit hip-hop, c'est un babtou et quatre blacks 
Qui t'braquent, au mic, donne ça pour l'bloc 
Pour les DJ, les breakeurs et pour les gars qui smoke 
Pour ceux qui graffent sur les murs, l’État, la police fuck ! 
",3,"['Apotre H', 'Treyz l’Affreux', 'Eloquence']"
2015,Abuzeur,Disiz,"
Tu disais quoi ? Tu disais quoi ?
Tu fais comme si c'était la boîte à ton père
T'en fous partout, tu devrais poser ton verre
Quand tu danses, pose ton verre
Quand tu danses, pose ton verre

Je connais une meuf
, 
elle poste plus vite que son ombre
Nouvelles shoes, nouveau sac, nouvelle veste, nouveaux ongles
Nouveau mec, nouvelles potes, nouveau taf, chaque seconde
Quand elle est brune, qu'elle est rousse, qu'elle est bleue, qu'elle est blonde

C'est une abuzeuse-zeuse, une abuzeuseuse
Une abuzeuse-zeuse, une abuzeuse
Une abuzeuse-zeuse, une abuzeuse
Une abuzeuse-zeuse, une abuzeuse

J'connais un mec qu'a des tatoos partout, 
mais quel est le but ?
C'est une carte, une énigme à trouver, c'est quoi le truc ?
La dernière fois, je le vois, tranquille dans le bus
Me parle de son projet de se tatouer l'anus

C'est un abuzeur-zeur, un abuzeur
Un abuzeur-zeur, un abuzeur
Un abuzeur-zeur, un abuzeur
Un abuzeur-zeur, un abuzeur

Tu fais comme si c'était la boîte à ton père
T'en fous partout, tu devrais poser ton verre
Quand tu danses, pose ton verre
Y a toujours un mec qu'abuse
Quand tu danses, pose ton verre
Et qu'en fait trop, qu'en fait trop
Qu'en fait trop, qu'en fait trop
",0,
2012,Actarus,Disiz,"
Ok, je sais sortir le cœur, je sais aussi sortir le sabre
Ça sera pas pour le champagne mais pour tous ceux qui m’accompagnent
Mes gosses et ma compagne, c’est eux pour moi il y a pas mieux
M’attend à tout des haineux, car pour eux il y a pas Dieu
Disiz c’est le haut du panier
Ils me croiront redevenu roi donc me traqueront sur le damier
Ils ne veulent tellement pas me voir gagner, aimeraient être Gilbert Montagné
Ne sont pas en état de m’affronter, comme les états frontaliers
Et les jaloux vont s’allier, la haine sera journalière
Déjà à genoux cinq fois par jour, je ferai ma prière en genouillères
Je représente le meilleur donc je m’attends au pire
Marié avec la rue, j’ai refusé son empire
Refusé son emprise, son bizz', son entreprise
Son argent sale, son crime, son vice, sa gourmandise
Et certains m’en veulent mais personne ne m’a eu
Je me suis toujours battu depuis la cour du bahut
Code de la route, code de la rue, ils ont trop de malus
Ma foi c’est Goldorak, mon cœur c’est Actarus
Et je capte ta ruse, ça se prend pour la mafia russe
Font tellement de la merde devraient s’appeler ""Anus""
Je ne crains que Dieu, annule ton scénar tout naze
Ta grande gueule, tes gros guns, ta grosse équipe, toussa toussa
Je suis un gars qui marche seul, je n’ai pas de bodyguard
Je roule avec celui qui a créé l’Homme, qui a créé l’arme
Frérot je suis né dans le drame, je connais toutes sortes de larmes
Je connais toutes sortes de haines, en plusieurs formes, dans plusieurs gammes
Dans plein de coloris, 
jaloux tu perds des calories
Je ne suis pas le leader, si tu ne m’aimes pas, Unfollow me !
",0,
2017,ADN,Disiz,"
""Les premiers seront derniers"", cette phrase est la première
Pourtant, c'est la dernière que j'ai écrite
Même si ma plume est voilée, elle cache pas de bannière
Elle fait pas de manière, elle cache une nature triste
Oui, j'ai l'alcool triste et la weed me ment
C'est un paradoxe, c'que j'ai pas eu me manque
Un père, par exemple, plus que des billets d'banque
Il m'est difficile de vivre en dilettante
Puis, quand tu vois les temps qu'on vit
L'époque débilitante qu'on vit
Les bandits vilipendent c'qu'on vit
Font croire qu'on est convive, mais qu'on est con
Qu'est-ce qu'on est candide quand on est bon
Pourtant, quand t'es gosse, on t'dit : ""Sois gentil.""
Mais des vrais parents devraient dire : ""Sois méchant.""
Car la vie s'abstractise comme Kandinsky
La vie, ça s'pratique pas comme quand t'es p'tit
Et tous tes rêves mourront comme Kenobi
Tué par Dark Vador, t'auras la peine au bide
T'es ton propre guide, tu te perds tout seul
Quand tu te perds trop, tu te parles tout seul
C'est le monde à l'envers, ça veut rien dire
Car la Terre est ronde et pleins d'ordures
On s'cache tous dans l’ombre, comme des Shinobis
",0,
2004,Aime ton prochain comme toi-même,Disiz,"
Dieu tout puissant, je t’aime tellement
Et je te demande pardon d’être si faible souvent, si véhément vraiment
Pour le moment même en, essayant tout le temps d’être bon je faillis souvent
Je prie pour ma maman, aime-la mais vraiment
Tu sais c'est presque un ange, elle a aimé tant de gens
Mon Dieu je suis triste et je me sens impuissant
Parce que j'essaye d'changer les choses mais ça va trop doucement
Tout dans ce monde est troublant, depuis trop de temps
Ma peine est trop lourde, ce que j'veux est trop grand
Entend ce que je souhaite, cette prière est sincère
Je veux qu'les êtres humains s’aiment comme on peut aimer sa mère
Parc'que des êtres humains saignent, parc'que d'autres aiment la guerre
Et c'que les êtres humains s'aiment, nous amènera le tonnerre
Je demande un peu d'répit, un peu d'équilibre
Pour les plus malheureux, ceux qui  continuent de l'vivre
A tous ceux qui n’ont plus d'rêves, que de la souffrance
Accorde-leur le paradis, envoie-leur un de tes anges
 (x2)
Que mon front touche le sol ou que mon poing soit serré
Cette prière est sincère, Dieu tout puissant j'aimerais
Que tu pardonnes à l’homme d'avoir oublié l’essentiel
C’est d'aimer son prochain comme on doit s’aimer soi-même

Dieu, rassure-moi comme quand j’étais petit
Comme quand j'avais peur du noir parce que ce monde m'engloutit
Je suis seul souvent et je te parle tout le temps
J'sais que tu m'vois tout le temps et que tout est tentant
Ma foi est si forte mais mon cœur est si fragile
C’est pas facile d'être un homme et d'être si sensible
Je prie pour ceux qui sont seuls, pour ceux qui ont faim
Pour tout ceux qui n'sont pas sûr d’être en vie le lendemain
S'il te plait, touche le cœur de ceux qui rêvent et qui le méritent
Accorde le repentir à ceux qui regrettent pour les guérir
Dieu, laisse-moi dans le droit chemin, et si j'm'égare
Envoie-moi un signe que j'pourrai voir
Redonne l'espoir, à ceux qui l'ont perdu
Donne de l'amour à tous ceux qui n'y croient plus
S’il te plait relève la tète à tous ceux qui ont honte
Accorde le paradis à tous ceux qui quittent ce monde
(S'il te plait)
",0,
2022,ALLELUIA,Disiz,"

Hmm, hmm
Alléluia, allé-alléluia
Alléluia
Bad mood, sous full moon
Y a plus d'jour, plus d’amour

La vie s’abat, s’abat sur moi
Le ciel, ce soir, n’a pas d’étoiles
Il m’a eu encore, l’espoir sournois
J'suis pas dispo', laisse un message
Nuage tout noir au-d'ssus de moi
Au fond des yeux, j’ai des trous noirs
Fœtus aveugle dans l'placenta
Avant d'sortir, c’était tout noir

Mais quand t'es là, allé-alléluia
Allé-alléluia
Et quand t'es là, allé-alléluia
Allé-alléluia

Alter ego n’est pas réglo
Toujours violent quand y a négo'
Entier humain, demi-négro
Et deep, très deep est le négro
Rimes de baisé, dramatique mélo'
J'donne la réplique comme un salaud
Coup de volant, dangereuse va-go
Plus de retenue, j'fume mon bédo
",0,
2022,ALL IN,Disiz,"

J'ai fait du sale, c'était pas volontaire, p't-être un peu
J'me sentais mal, avec tout ça, j'voulais faire un feu
Tous les regrets, toutes ces filles sans visage
Je cherche quelque chose, j'accélère dans l'virage

Tu veux qu'j'fasse un all-in, all-in, all-in (All-in)
Que j'te donne mon cœur (Mon cœur)
J'peux pas, c'est plus possible (Possible, possible)
Mais, t'inquiète, j'reste dans l'secteur (Secteur)

Laisse-moi, j'me répare un peu, d'abord (D'abord)
Je reviens du feu, du love hardcore (Hardcore)
J'me répare un peu, d'abord (D'abord, d'abord)
Si t'es d'accord, alors d'accord

J'suis pas prêt, j'suis loin, très loin
Quelques week-ends, ça m'va très bien
Pas plus, pas moins, c'est cool
On se doit rien, c'est good
Cœur brisé, broyé, regrets, tout y est
Derrière les ""je t'aime"", maintenant, y a des pointillés
Donc j'suis pas prêt, pas prêt, je suis bousillé
J'suis pas prêt, pas prêt
",0,
2009,Alors Tu Veux Rapper? / Flowmatic,Disiz,"
Alors tu veux rapper !?
 J'espère que t'as la rage
Autant que moi à l'époque des Rimeurs à gages
Es-tu prêt à tout perdre, à stopper l'école ?
T'embrouiller avec ta mère, parce que tu n'as pas de job 
?
Es-tu prêt à te saigner, écrire nuits et jours ?
Rapper sans être payé, juste pour l'amour ?
Rapper jusqu'à la mort, rapper jusqu'au bout du monde ?
Déchirer tous les les quartiers, tout ça sans penser aux ondes ?
Etre a l'affût de tous les plans, de chaque concert ?
De Saint-Denis à Savigny, De Bobigny au Pont de Sèvres ?
Pas d'argent pour un grec, ce sera la boîte de conserve
Tellement de rimes dans la tête, une boîte à rythmes dans le veaucer
Es-tu prêt à oublier les tass dans ton portable ?
Car trop en retard, elle pète un câble et ne t'attends pas
Ca fait longtemps que t'as pas baisé, tu penses qu'à rapper
Tu calcules que ton rap, tu penses qu'elle va rappeler ?
Es-tu prêt à dormir dehors, t'as raté le dernier train ?
R.E.R D Pierrefite Stains, le studio t'as mis en chien
Et tu n'as pas de crédit dans ton portable
Tu n'as plus de piles dans ton walkman
T'as faim, t'as froid, tu te sens mal
Mal, mal, mal, mal
Mais grâce à Dieu
 dans ta poche t'as un putain de stylo
Sur le quai de la gare tu cherches des putains de flows...
",0,
2020,A.M.O.U.R,Disiz,"

J'crois bien qu'c'est mon dernier sujet, a-m-o-u-r
Je regarde avec mon cœur donc j'suis témoin oculaire
De ta haine de fils de pute, comment faire pour autant haïr ?
Tout est contrôlé par l'A.I., et les algorithmes te calibrent
Pour qu'tu capitules au capital
Pour eux, mon aversion est radicale
C'est tout un peuple qu'il éradiqua
L'enfant d'une autre qu'il matraqua, que de tracas
Je n'ai ni nation ni pays, je suis paria
Je m'endors avec la vengеance, comme la petitе Arya
Trop tôt il se maria
, fallait faire comme dans les films
Entre suicide et parricide, va falloir que j'me décide
Les beaux jours sont rarissimes, ces derniers temps
Des gros cistes-ra', ces derniers temps, se permettant
Si tu veux pas d'enfant, pourquoi tu spermes dedans ?
Si tu n'aimes pas ton père, pourquoi t'en parles autant ?
Plébéien ou plaie béante, petit, tu plaisantes ?
Je crois plus au Père Noël qu'à l'égalité des chances
J'y vais en luge pour ma descente aux enfers
Je suis sous verte, bientôt j'passerai aux amphét'
J'ai plein de folies dans la tête, plein de projets que j'ampute
Ça fait longtemps qu'j'suis plus en quête, très longtemps qu'je suis qu'en lutte

J'ai largué les amarres
J'suis devenu bizarre
J'te raconte pas l'histoire
Le ciel est beau ce soir
Le ciel est beau ce soir
",0,
2003,À nos actes manqués (Ft. Eloquence),Disiz,"
Ressens mes peines, mes joies, ma haine, ma foi
Le thème, à nos actes manqués, futurs et passés
Remords et regrets, flash back, je rappe
Point de départ clap
Mais le temps m'rattrape, merde, au diable les regrets
Sur cette terre, même si le thème de ce texte c'est : à nos actes manqués
Ma vision de vie blesse, loin d'être top-less
Mon passé vaut pas un kopeck
Le destin j'y crois pas, je ne calcule pas mais peut-être
Dans un coin de mon cerveau, j'aimerais refaire mon monde
Des images de ma vie, genre montage de film sur riddim (?)
Me faire un casier clean, pour pas aller en taule
Pour plus pé-ta ce flic, pour pas que maman déprime
Écoute tu sais de chaque vie on peut écrire un livre
Passer du drame, à la comédie en un chapitre
Pour une capote non mise
Pour une ceinture non mise
La mort te frappe dans le mille
La vie ne tient qu'à un fil

À nos actes manqués, tous nos projets
Ce qu'on a fait, qu'on regrette, qu'on aimerait gommer
Nos faiblesses nous trahissent, on est que des hommes
Souvent on prend des risques pour rêver un minimum
Tes actes te font payer la taxe, te font boire la tasse
Seul devant la glace, tu repenses mais c'est déjà l'impasse
À nos actes manqués, tous nos projets
Ce qu'on a fait, qu'on regrette, qu'on aimerait gommer
",1,['Eloquence']
2017,À petit feu,Disiz,"
Dès le départ, c'était plié
Blehni, blehni, ça s'est aimé
C’était un tard-bâ, tard-bâ, tu le savais
Caillera, caillera t'a fait rêver

Juillet, soleil, volets fermés
Faire l'amour toute la journée
Des plats commandés moitié mangés
Des films loués moitié regardés
Fumer, fumer toute la nuit
Loin de la vie et de l'ennui
Très loin, très loin de la famille
Les yeux, les yeux dans le tapis

Tu n'es plus là, t'es ailleurs
Le rêve est étrange mais doux
Mélodie strange dans l'sampler
Le mec est beau mais fou

Et, au début, c'était qu'un petit jeu
Et tu l'aimais, oui, l'aimais comme un petit Dieu
Mais tu te brûles, te brûles à petit feu
Tu te consumes, consumes à petit feu

Dès le départ, c'était plié
Très grosse erreur vite oubliée
Même grillé, grillé, jamais avouer
Toujours trahir, toujours nier
Les cadeaux, cadeaux étaient volés
Billets, billets ensanglantés
Empreintes digitales et mains gantées
Votre bonheur, bonheur, était hanté
Désir d'enfant, menaces de mort
Contradictoire est le bonhomme
Les yeux perdus dans le décor
Les poings et l'amour cognent très forts
S'embrouiller-brouiller toute la nuit
Des larmes, des caresses, des coups, des cris
Très loin, très loin de la famille
Les yeux, les yeux dans le vide
",0,
2015,Arrête la voiture / Elle attend son fils,Disiz,"
Eh, vas-y, j’sors !

Fuck le français, fuck les maths, 
j'suis dans l'train pour Grigny
 est à ma droite, 
jogging blanc, Sergio Tacchini
Programme de la journée : danser, glander, draguer dans la gare
Voir des œils s'faire goumer, yeux grands ouverts devant des grandes bagarres
Voir les grands d'la gare dépouiller des hindous au hasard
Avoir le cœur qui bat de voir la peur dans leur regard hagard
Rigoler avec les monstres et se croire l’un deux
À mon poignet, j’ai pas de montre, faut qu'je rentre en deux-deux

Arrête la voiture, j’descends, faut pas que j'prenne cette route
Car 
cette route est glissante
, putain, j'pars en couilles
Arrête la voiture, j'descends, faut pas que j'prenne cette route
J’risque de m'faire descendre ou d'finir au trou
Arrête la voiture
Arrête la voiture
Arrête la voiture

Arrête la voiture, j’descends, toutes ces embrouilles, j'les sens ap
Traite-moi d'dale-pé, traite-moi d'lâche, traite-moi d'traitre, j’m’en tape
La hagra, c'est sans moi, pas dans vos délires de hagra
J’pars en couilles, j’fais la caillera pendant qu'ma mère s'tue au vail-tra
C’est elle que j'trahis, oui, hier, j’suis rentré tard
J’essayais d'pas faire de bruit, on venait de smoke un gros pétard
Avec Francis et Tonio sur la dalle du Parc aux Lièvres
Mes yeux vers le haut, j'bloque, un peu d'bave aux lèvres
Putain, j’ai même pas d’oseille pour m’en acheter moi-même
D't’façons, j'sais même pas rouler, puis ça fait tousser, sa mère
Moi, moi, j’ai pas d'père pour me foutre une raclée
Si ma pauvre mère savait, elle serait à terre, elle serait choquée
Chaque jour, elle m'demande : ""Tu rentres à quelle heure ?""
J’lui dis : ""J'sais pas, j’ai pas d'montre. À n’importe quelle heure""
Laisse pas traîner ton fils, mais ton fils fait c'qu’il veut
Quand t’as trop d'problèmes à gérer, seul ton fils t’esquive
Non, avant, j'travaillais si bien, j’étais si mignon
Maintenant, j'rêve d’une paire de gros eins, fumer du gros chichon
",0,
2000,"Au coin de ma rue (Ft. Kimto Vasquez, Nuttea & Taïro)",Disiz,"
Au coin de ma rue, les mômes essoufflés
D’avoir trop couru, d’avoir trop trébuché
Au coin de ma rue, les mômes essoufflés
D’avoir trop couru, pressés de rentrer
Au coin de ma rue ...

Instantanée en noir et blanc
J’fixe l’image sur ma feuille, j’te l’écrit noir sur blanc
Canicule sur le quartier pas d’métier, on glande
C’est l’été, les amitiés se font, chacun crée sa bande
Le soleil brûle ma nuque, dans les caves ça nique
En pleine torpeur, vers 16h 30, j’suis là, stoïque
Je me stay sur mon coin le mur est humide c’est rafraîchissant
Sûrement les petits qu’ont fait une bataille d’eau
J’entends l’air d’une chanson
(Au coin de ma rue ...) tout en réfléchissant au contraste
Des hiérarchies, les grands, les p’tits
Les minettes plein d’chichis
Une maman malienne passe bébé sur l’dos, au boubou couloré
Une légère brise balaye un papier d’bonbon acidulé
Décor planté, maintenant mes sosses qui charient
J’apprécie autant le petit Bakari, qu’le grand Scurffy
C’est pas l’petit quartier dans la prairie mais presque
J’suis loin d’être hardcore quand quand j’te dépeinds ma jolie fresque

Au coin de ma rue, les femmes essoufflées
D’avoir trop couru, d’avoir trop trébuché
Au coin de ma rue, les mômes essoufflés
D’avoir trop couru, pressés de rentrer
Au coin de ma rue ...

C’est fou pas mal d’entre nous finissent à genoux
De ne pas voir plus loin que l’bout du coin de la rue et ça rend fou
C’rendez- vous avec rien
C’ dégoût résigné du sourire remplacé par un r’gard de chien
Fixé sur l’sol à éviter les crottes de chien
L’après- midi rayonne et le néant s’façonne inexorablement
D’vant ma gueule et j’attends
Si pour moi ça déconne c’est que
Les temps sont trop lourds pour un raisonnement
Tu comprends ? Moi même ça m’échappe quel est mon cap ?
J’l’ai trop tâché c’coin d’rue marque les territoires au molard
Nos pères, nos mères marchent dessus fatigués
Leur pire est derrière, mais pas rassurés
Que d’angoisse dans leurs prières
Pas mal d’énergie perdue dans nos rangs
Frère à s’demander pourquoi ils ont souffert
On s’laisse trop distraire combien d’étés, d’hivers
On va rester là a faire partie du paysage frère
",3,"['Nuttea', 'Taïro', 'Kimto Vasquez']"
